SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ANDAMAN & NICOBAR ISLANDS,1917,6.449914683,5.43116398,6.625546468,1.507379726,1.693664684,150.5173524,132.3873847,121.9385842,106.0229004,31.20670075,30.89216444,26.41581891,616.6,11.6,45,1605.1,583.3
ANDAMAN & NICOBAR ISLANDS,1918,5.011464854,5.267757981,5.787769464,1.970997085,1.324743177,124.8784013,170.6385594,115.8556717,117.6995405,20.68299355,38.91407565,25.27840132,689.3,84.3,45,1670.4,768.9
ANDAMAN & NICOBAR ISLANDS,1919,6.059676352,6.044324989,6.034376874,1.533786772,1.139840385,119.4762912,181.9103237,203.2868315,195.8919724,19.63572599,25.75328994,38.83885206,633.2,28.2,45,1219.5,785
ANDAMAN & NICOBAR ISLANDS,1920,5.934944153,5.852594636,6.753154307,1.117432389,1.751710261,188.0799148,176.1579294,123.5178502,204.1989188,33.11074496,38.97451757,20.55537827,692.4,129.7,45,1814.1,745.9
ANDAMAN & NICOBAR ISLANDS,1921,5.223352109,5.151218991,6.266625602,1.476711802,1.385720974,104.8168483,153.3654431,185.794348,157.7427428,28.51012178,26.18731086,25.07284374,582.8,16.3,45,1681,520.4
ANDAMAN & NICOBAR ISLANDS,1922,5.325825234,6.919525897,5.014053328,1.961437296,1.995166139,132.9729206,196.7298527,195.2560352,166.78303,28.09398149,15.01439445,22.49944073,719.3,279.6,45,1751,895.2
ANDAMAN & NICOBAR ISLANDS,1923,5.728276133,6.561303572,5.984965152,1.30618683,1.69345039,124.7040841,187.05595,166.0386813,200.5614612,15.94188968,25.43713246,34.13898645,660.1,79.5,30,2188,399.9
ANDAMAN & NICOBAR ISLANDS,1924,5.609729596,5.056322926,5.272011571,1.012335443,1.240793743,137.2604734,110.2998629,132.775198,161.8286847,33.01933225,16.72093038,33.44426317,553.7,28.7,45,1296.6,
ANDAMAN & NICOBAR ISLANDS,1925,6.769959535,5.135159274,6.909683875,1.985099415,1.464724631,209.5197331,171.8957102,200.5344312,171.8791541,21.2357228,30.1386405,35.25805058,641.6,36.6,45,1385.7,717
ANDAMAN & NICOBAR ISLANDS,1926,6.015157706,5.543808864,5.694139022,1.458359371,1.54887617,152.4857169,179.1729118,139.0998469,213.6671778,33.53092795,30.94603518,32.72851441,685,122.1,45,1808.3,1152.9
ANDAMAN & NICOBAR ISLANDS,1927,6.344264237,6.460436672,5.526822493,1.856077391,1.255625668,156.6128424,200.5641501,153.5592114,159.455321,33.20195387,21.91402057,26.99976029,611,20.5,45,1124.8,667.1
ANDAMAN & NICOBAR ISLANDS,1928,6.367681081,6.547046366,5.351381763,1.655312731,1.884929634,111.2595669,198.600762,142.4261506,186.5784271,28.96477287,37.0669795,32.82270659,657,118.5,45,1612.8,557.5
ANDAMAN & NICOBAR ISLANDS,1929,6.138607653,5.307022325,5.653988883,1.484503311,1.350539317,192.4543706,152.5889393,160.2737762,119.6083052,15.39800647,32.22869961,30.37092101,692.7,192.6,45,1540.4,678
ANDAMAN & NICOBAR ISLANDS,1930,6.089073805,6.994775021,5.583656491,1.721719496,1.00328632,123.9550621,197.5743536,139.7626367,150.1965918,35.29454341,18.90824096,35.91568275,765,192.8,45,1975.4,533.3
ANDAMAN & NICOBAR ISLANDS,1931,5.05609798,5.595022706,6.90416959,1.6718341,1.159750114,116.4635059,126.6307881,206.1108069,125.8054013,22.14135313,20.61884684,16.83550871,573.1,25.3,45,1548.2,573.8
ANDAMAN & NICOBAR ISLANDS,1932,5.022739561,5.390857423,6.799683133,1.484933216,1.592569159,137.019056,100.4739724,206.2477653,210.9752356,34.84897217,21.90886747,27.5014735,50.3,5.3,45,,
ANDAMAN & NICOBAR ISLANDS,1933,6.749652961,5.294927437,5.952200006,1.529892932,1.139568754,212.6623561,156.7324128,217.6469548,207.1676978,36.17537055,24.69846281,22.9797241,598.1,16.2,45,1973.9,565.5
ANDAMAN & NICOBAR ISLANDS,1934,5.693407087,6.823398984,5.270063412,1.144297312,1.528577736,181.1619327,140.6637814,144.7634421,110.9033839,35.39604045,15.9999854,32.74945288,658.4,180.2,45,2717.9,624.4
ANDAMAN & NICOBAR ISLANDS,1935,6.593069717,6.247217474,5.830877083,1.586253352,1.546670248,104.2090377,211.1929064,116.4256794,110.2143695,17.22520671,16.11339444,19.86598843,611.6,6.6,45,1733.3,553.2
ANDAMAN & NICOBAR ISLANDS,1936,6.240106269,6.23929897,5.883732163,1.738266294,1.834027382,119.3885178,203.5751596,127.9745645,162.7576312,33.47260697,32.08342562,29.497462,621.8,31.8,30,2109.8,586.3
ANDAMAN & NICOBAR ISLANDS,1937,6.671257045,5.798505281,6.523475739,1.285738919,1.989367882,141.5367224,114.6301608,176.4308496,103.6451563,29.44516015,31.41612796,26.92051129,637.3,32.3,45,1863.8,1252.5
ANDAMAN & NICOBAR ISLANDS,1938,6.309232227,6.86493079,5.03796574,1.689428002,1.795468641,109.7510561,132.0279562,112.4049133,202.5528866,24.24121417,38.08606462,16.38174736,675.6,70.6,45,1930.6,742.2
ANDAMAN & NICOBAR ISLANDS,1939,6.466715494,6.595348797,5.276770553,1.341035973,1.921558132,203.2576908,167.3792374,123.6881348,205.8931155,22.57032259,27.37807428,15.70623193,660.6,55.6,45,1591.9,561.1
ANDAMAN & NICOBAR ISLANDS,1940,5.835293225,5.608979873,5.399204848,1.942648281,1.227700563,102.3313541,151.1152907,175.8775022,136.0108699,37.43908773,39.65457736,24.94871171,608.3,3.3,45,1970.2,653.9
ANDAMAN & NICOBAR ISLANDS,1941,5.224948007,6.391234129,5.611624689,1.010689681,1.768352054,208.7949352,115.407665,120.9676708,145.573448,18.19628335,35.04603788,35.69782461,617.8,12.8,45,1627.4,928.3
ANDAMAN & NICOBAR ISLANDS,1942,6.205015419,6.596389374,5.680459607,1.46580272,1.854978239,128.2480123,208.2815736,196.6882809,176.661806,26.96294821,29.96993899,18.99073689,46.6,46.6,0,,
ANDAMAN & NICOBAR ISLANDS,1946,6.863378982,6.58299876,5.475162162,1.238648783,1.543836611,184.2377976,144.3109409,122.9446281,133.1352332,35.10452651,16.09745822,38.17591013,688.6,88,45,1570.6,667.6
ANDAMAN & NICOBAR ISLANDS,1947,5.025131761,6.845329132,5.488199887,1.898636359,1.815461109,104.6014604,124.8307954,192.2301804,117.437399,30.81801983,29.4479806,32.23154971,617.6,136.2,45,,612.1
ANDAMAN & NICOBAR ISLANDS,1949,5.651097605,5.006469392,6.588150523,1.234006921,1.543890528,207.8351371,132.05726,110.2188201,128.4914509,18.2763872,19.92181254,35.27485808,588.4,56.4,45,2433.2,427.7
ANDAMAN & NICOBAR ISLANDS,1950,5.699500321,6.324988763,5.168164533,1.775251238,1.925191434,118.6524835,107.5145393,164.1560533,180.2450257,35.97822045,20.51523796,28.53851202,605.8,0.8,45,1578.4,483.3
ANDAMAN & NICOBAR ISLANDS,1951,6.342988521,5.710882859,5.067074593,1.334490547,1.846348113,191.0402959,184.9404551,129.9843889,144.0162303,29.74201028,15.8291413,37.76384559,692.2,89.9,45,1747.4,1133.4
ANDAMAN & NICOBAR ISLANDS,1952,6.189204858,5.458583884,6.91545822,1.63447436,1.198004309,132.3068274,219.1373972,174.6312498,186.801309,24.13763813,34.02639537,23.27960038,605.8,0.8,45,1824.8,692.3
ANDAMAN & NICOBAR ISLANDS,1953,5.790803503,5.120762035,6.16209649,1.842011241,1.362273766,108.1626157,108.6500809,195.535979,208.9096214,34.66127611,31.66680867,37.94139399,709.6,121.3,45,1627.1,552.9
ANDAMAN & NICOBAR ISLANDS,1954,5.181368422,6.758746177,6.344328124,1.777264032,1.081118612,216.9100457,127.0114329,156.7706436,171.5133162,31.52820884,33.93426096,28.21965192,687.1,85.9,45,2419.4,456.7
ANDAMAN & NICOBAR ISLANDS,1955,6.628398371,5.569815809,5.65713002,1.987755854,1.708356548,199.6471539,112.7468735,173.4696057,208.5911511,25.45277398,32.45907947,23.48603942,654.7,85.5,45,1648.3,873.6
ANDAMAN & NICOBAR ISLANDS,1956,5.453529842,5.818873675,6.899148139,1.395414005,1.948758267,103.4659655,129.7186441,162.941361,193.6242776,38.38955774,29.16093088,30.90090418,721.9,126.4,45,1604.4,693.3
ANDAMAN & NICOBAR ISLANDS,1957,5.109717692,5.802203171,5.151672914,1.215227055,1.867835161,152.9732229,158.7624209,166.2920913,128.1425813,39.55575935,15.76813272,23.16740958,644.2,47.3,45,1833.6,460.3
ANDAMAN & NICOBAR ISLANDS,1958,5.746870802,6.209523387,6.432243709,1.527583762,1.911197793,174.6532593,197.1156096,104.8860107,176.3128788,17.67640172,34.27797868,21.81362784,632.9,37.2,45,1710.4,649.6
ANDAMAN & NICOBAR ISLANDS,1959,5.639685782,6.978879216,6.594959296,1.210576368,1.198218002,163.7966583,136.0751301,143.380589,208.0835929,20.07030628,27.54745287,23.17428956,616.9,11.9,45,2271.7,703.6
ANDAMAN & NICOBAR ISLANDS,1960,6.902708074,6.496098772,5.154605243,1.322354367,1.99101131,168.0203987,127.8561576,126.9657087,137.948438,37.59627971,31.51180951,28.26470406,757.4,176.6,45,1563,684.5
ANDAMAN & NICOBAR ISLANDS,1961,6.781016821,5.738717205,6.240238298,1.092704474,1.757923543,135.1236032,214.1528333,110.3554436,194.9384887,35.41914975,23.5622442,20.18518328,765,181.5,45,1857.3,805
ANDAMAN & NICOBAR ISLANDS,1962,6.387414545,6.241906169,5.081899348,1.730821091,1.349028171,152.5517102,210.3864071,122.7494279,184.1892437,37.13519181,36.55067736,15.84647077,699.9,167.3,45,1671.9,746.4
ANDAMAN & NICOBAR ISLANDS,1963,5.094706536,6.788159044,5.707979123,1.191578542,1.604238608,171.3521522,125.8756205,135.523265,133.9982085,19.36441334,36.79374762,29.41987786,711.7,106.7,45,1953.5,584.7
ANDAMAN & NICOBAR ISLANDS,1964,6.995027236,6.335080221,5.481148373,1.900810473,1.486022458,182.5345114,187.0792737,204.2309387,202.1296887,34.4499055,24.50128142,25.0115939,692.4,87.4,45,1745.9,669.8
ANDAMAN & NICOBAR ISLANDS,1965,6.098186534,6.830826729,5.362847195,1.837274272,1.249949367,198.3626472,210.4274493,141.593367,192.0740386,36.56398683,27.18565779,38.49124249,647.2,42.2,45,1774.3,978.8
ANDAMAN & NICOBAR ISLANDS,1966,5.911064285,5.368928183,6.131167649,1.538674938,1.420815104,118.3802751,117.2577209,218.8523994,123.1292926,24.88367424,15.04545104,16.35439087,689,83.9,45,1372.1,817.6
ANDAMAN & NICOBAR ISLANDS,1967,6.583815822,5.504243718,5.163886538,1.496800105,1.999710864,172.8591152,193.1621167,210.1628203,148.6891687,19.25492691,21.54104776,28.07952541,706.6,186.2,45,1796.4,624.1
ANDAMAN & NICOBAR ISLANDS,1968,5.521761333,5.821889491,5.045613048,1.785861205,1.013526927,145.5612148,154.0413106,141.8824495,124.5774011,28.29658211,26.37021735,22.41760063,628.4,23.4,45,1803.3,552.8
ANDAMAN & NICOBAR ISLANDS,1969,6.038822905,6.784188875,5.779640525,1.554326602,1.059989271,129.3986368,138.2403929,159.6809017,109.9506189,35.46951239,37.06208861,34.58128593,735.5,171,45,1539.1,556.3
ANDAMAN & NICOBAR ISLANDS,1970,5.550814955,6.558982985,5.461740644,1.448441708,1.671706355,115.3517359,152.2790086,131.2672604,109.1282029,15.45243624,33.92905964,16.01619602,711.2,106.2,45,1738.2,1037.7
ANDAMAN & NICOBAR ISLANDS,1971,6.225358449,5.544672915,6.558282164,1.754247617,1.259873485,208.6818655,118.2703016,152.5042837,120.0656842,21.35127864,35.70929167,37.18670392,679.3,74.3,45,1613.7,839.6
ANDAMAN & NICOBAR ISLANDS,1972,6.565382887,5.05201452,5.271067674,1.110264485,1.595257167,115.4853242,215.8160664,187.6207246,150.0102869,26.6764265,39.600699,21.34195309,620.4,15.3,45,1844,857.7
ANDAMAN & NICOBAR ISLANDS,1973,5.692774561,5.385531058,5.495564398,1.766281486,1.686042064,204.990981,199.0149437,188.7431325,199.2984735,30.43198698,31.72021979,15.15837926,643.4,38.5,45,1587.8,886.1
ANDAMAN & NICOBAR ISLANDS,1974,5.359276867,5.986695009,5.800466108,1.495817829,1.561589442,108.0842587,213.7668483,124.6319571,142.9793216,37.99786107,17.64271705,24.30311151,665.9,66,45,1378.7,845.3
ANDAMAN & NICOBAR ISLANDS,1975,6.057495149,6.820048068,5.032957311,1.658129252,1.149447713,123.5813235,101.120758,170.9186436,185.6475412,38.95278422,16.80235641,37.53996322,712.5,304.4,45,1589.1,797
ANDAMAN & NICOBAR ISLANDS,1976,5.599877979,5.193894468,5.0955827,1.532434262,1.686552651,183.2918919,122.0085413,213.616082,191.2403716,20.07524564,35.09823291,37.81846507,635.6,30.6,45,1698.2,833.7
ANDAMAN & NICOBAR ISLANDS,1977,6.110394189,6.120563828,6.721059861,1.113124421,1.853056377,129.8673654,138.1274259,149.425174,154.7545123,24.4265027,37.32385247,37.89850905,715,122.9,45,1492.9,484.1
ANDAMAN & NICOBAR ISLANDS,1978,6.060687861,5.656989167,5.985124193,1.927480848,1.707578082,104.129323,168.3856091,210.7284958,125.7045866,32.88543608,15.5460564,35.9718001,678.9,138.9,45,1775.9,371.6
ANDAMAN & NICOBAR ISLANDS,1979,5.332457874,6.308622103,5.636680014,1.385959311,1.776211222,193.5864027,126.7204498,181.2812628,105.6994284,18.12875412,39.95955488,39.1904695,583.5,44.9,45,1242.5,347
ANDAMAN & NICOBAR ISLANDS,1980,5.772345001,5.157270836,5.914384834,1.961282675,1.215469468,171.8745105,214.741412,111.4743891,128.434032,39.2180778,21.24795593,28.05672051,611.3,6.3,45,1946.3,896.3
ANDAMAN & NICOBAR ISLANDS,1981,6.231155303,6.112269058,6.847339783,1.563899614,1.822069462,118.7827994,153.0505775,198.2469044,184.3032304,39.89977767,23.76874894,20.95050921,643.9,38.9,45,1908,761.2
ANDAMAN & NICOBAR ISLANDS,1982,5.672088974,6.873902913,6.803495343,1.909993743,1.029502576,111.3160814,102.5699304,219.6951333,159.6865012,34.31591418,23.74552892,36.39319867,597.1,11.6,45,1575.8,463.8
ANDAMAN & NICOBAR ISLANDS,1983,5.860331415,5.046634087,5.685222053,1.4851589,1.002606705,213.5422666,158.8887403,113.7691489,159.3335355,30.51014288,15.67019423,32.53989375,627.1,22.1,45,1892.4,624.9
ANDAMAN & NICOBAR ISLANDS,1984,6.770923597,5.21874339,5.698513895,1.16604217,1.234351103,100.1688639,105.9896906,202.7189918,203.3641472,39.60006509,36.23088545,24.74093497,754.4,243.2,45,1280.7,951.2
ANDAMAN & NICOBAR ISLANDS,1985,5.934070871,5.373385679,6.396108467,1.19852043,1.229164923,154.8579798,189.9542463,208.7097638,180.397659,29.26077414,29.73986201,31.66399035,636.2,31.2,45,1557,685.4
ANDAMAN & NICOBAR ISLANDS,1986,5.602165997,6.871676623,5.423386509,1.350459198,1.336947778,190.6794615,178.0415682,176.7887668,115.9183958,23.80027304,16.95066567,30.04788383,587.4,15.4,45,1473.6,386.5
ANDAMAN & NICOBAR ISLANDS,1987,6.380030138,6.966813511,6.209543806,1.925940952,1.651473142,178.0855897,219.4289861,219.9517861,145.763781,27.42485505,33.35458811,23.04188642,712.6,107.6,45,1434.5,1021
ANDAMAN & NICOBAR ISLANDS,1988,6.792267628,6.565939457,6.549589774,1.316511547,1.351965793,122.7465193,203.4381236,171.0419386,113.7893811,27.47861524,25.44552837,38.76419808,645,50.1,45,1810.5,924.3
ANDAMAN & NICOBAR ISLANDS,1989,5.249875321,5.526470376,5.074858905,1.625330026,1.60914107,127.4948333,156.0024649,207.9158884,170.7611753,17.28209414,39.24720047,20.19796306,597.8,68.8,45,1424.1,550.7
ANDAMAN & NICOBAR ISLANDS,1990,5.076641947,6.272184789,6.978230654,1.686650411,1.833429785,115.5750874,159.6193176,192.7752086,186.447266,36.34238573,15.41333044,15.7394982,618.6,13.6,45,1108,525.1
ANDAMAN & NICOBAR ISLANDS,1991,6.375712171,5.281482734,5.031230853,1.351208199,1.180852518,142.8175411,211.4128195,103.6352541,110.4027237,29.60193813,18.60702426,18.33743536,601.4,18,45,1689.3,476.2
ANDAMAN & NICOBAR ISLANDS,1992,6.60236108,6.462221058,5.190391996,1.356394119,1.004149549,117.5252216,100.5799106,189.3548558,150.5719791,30.51665258,16.90182917,34.57868535,603.3,86.8,45,1436.2,328.8
ANDAMAN & NICOBAR ISLANDS,1993,6.401960149,5.209035848,5.949993755,1.027520677,1.422690658,206.1559712,202.7531549,200.3966517,212.2964681,16.18077005,30.90784501,22.64833595,606.6,14.9,45,1312.5,555
ANDAMAN & NICOBAR ISLANDS,1994,6.000856592,6.185072491,6.908975194,1.295708064,1.085671661,149.2118907,193.5834407,219.3101703,219.6827239,32.44099585,33.2371438,34.15311342,591.5,42.6,45,2191.5,341.5
ANDAMAN & NICOBAR ISLANDS,1995,6.258717822,6.508408507,5.379407698,1.322441858,1.353926781,122.4461719,207.9761213,133.4833562,207.1534283,37.92998467,31.47120704,18.95709557,610.9,64.3,45,1933.9,769.2
ANDAMAN & NICOBAR ISLANDS,1996,5.780195916,5.359258987,5.417452075,1.898265228,1.166018102,197.7923874,100.1957454,150.6658003,141.2660225,22.64716716,33.7020236,30.56727845,662,57,45,1764.3,751.5
ANDAMAN & NICOBAR ISLANDS,1997,5.050217668,6.917328639,5.638822523,1.780074644,1.63317316,182.276289,182.7207611,194.1843908,105.1031571,18.61292797,33.42996866,34.54274514,572.9,9.5,45,1988.8,459.9
ANDAMAN & NICOBAR ISLANDS,1998,6.207042208,5.884899115,5.322927758,1.038398869,1.955014207,208.6602678,217.0569997,201.6693749,215.5844429,35.59215009,33.6550857,24.22427915,605.9,0.9,45,1561.2,935.4
ANDAMAN & NICOBAR ISLANDS,1999,6.896347792,5.915091251,5.069482496,1.964884371,1.900432394,212.310243,188.4936956,146.0179801,177.7175978,27.23733698,24.88560662,18.22859856,696.4,91.4,45,1358,708.1
ANDAMAN & NICOBAR ISLANDS,2000,5.461239467,5.965935131,6.658756459,1.637263871,1.619609954,122.166335,200.5970785,151.3348351,114.6432531,23.26664698,30.73884589,29.34570469,717,112,45,1244.2,594.7
ANDAMAN & NICOBAR ISLANDS,2001,6.344045857,6.58224299,6.933293417,1.774200417,1.463009283,127.822069,132.0636074,197.3211565,185.2449943,29.45687271,32.17713749,39.74372238,700.7,104.7,45,1515.4,582
ANDAMAN & NICOBAR ISLANDS,2002,5.614767267,6.612291625,6.777310742,1.490523641,1.80918871,216.6057873,213.6904887,198.5869337,113.3833928,29.22538294,34.05865692,28.13301537,615.6,10.7,45,1525.6,605.5
ANDAMAN & NICOBAR ISLANDS,2003,5.622144509,6.294372027,5.548631958,1.989139714,1.402800053,107.2552982,114.0250311,106.5036087,135.8683623,28.40224849,36.2697764,33.76563551,619.3,52.2,45,1406.1,432.5
ANDAMAN & NICOBAR ISLANDS,2004,6.395528485,6.280927186,6.18227857,1.80521469,1.746950473,204.907137,216.759294,164.8083286,170.0739469,32.06587347,32.59738792,27.13222885,615.8,90.4,45,1392.2,394.2
ANDAMAN & NICOBAR ISLANDS,2005,6.943805996,6.026641958,5.754396521,1.950773198,1.451015331,105.134226,109.9148196,142.9086782,147.1459664,26.68524226,18.39106434,22.63021786,605,0,45,1700.4,877.5
ANDAMAN & NICOBAR ISLANDS,2006,5.994731939,6.336383575,5.245190856,1.08603361,1.356888047,177.5775468,157.2039808,141.800998,149.1500366,34.61129493,29.6038975,21.27002942,626.2,30.7,45,1314.9,525.2
ANDAMAN & NICOBAR ISLANDS,2007,5.541314763,6.717183279,6.196704545,1.836927562,1.734493827,102.1571577,172.0367913,204.1981814,194.9037613,39.11984567,16.24937388,24.52541787,611.5,6.5,45,1793.1,518.9
ANDAMAN & NICOBAR ISLANDS,2008,6.811049588,6.666334051,5.749506685,1.091720319,1.86057224,105.2283482,137.9137386,129.0805667,130.4914661,39.52787306,17.13036825,23.25877613,674.6,77.6,45,1783.1,636.8
ANDAMAN & NICOBAR ISLANDS,2009,6.047360924,6.635424777,5.941784719,1.352446729,1.029968971,133.8376347,141.8569492,149.4459964,125.7387738,39.34785702,30.6196147,32.13459825,590,30.8,45,1627.1,386.9
ANDAMAN & NICOBAR ISLANDS,2010,5.815128642,6.971599196,6.757170231,1.186418136,1.167269159,109.7723779,113.21891,183.458916,218.0549527,17.67867874,36.4759119,20.52081991,693,109.8,45,1797.8,917.3
ANDAMAN & NICOBAR ISLANDS,2011,5.985415674,5.483761261,6.164240101,1.465289508,1.798286963,164.1584227,200.384835,127.0426033,186.0007866,31.43964816,31.33945144,28.17190256,765,350.7,45,2165,601.6
ANDAMAN & NICOBAR ISLANDS,2012,5.89897975,5.321231974,6.895211138,1.746628441,1.39042272,170.0581583,126.0217537,166.28423,211.9619273,39.92999174,39.93169621,16.10472567,730.6,165.6,45,2014,697.5
ANDAMAN & NICOBAR ISLANDS,2013,6.976196482,5.801401753,5.765259324,1.766093956,1.787150061,217.947175,194.5012501,172.2846662,140.9900063,24.51971937,30.61134231,35.81888569,709.7,104.7,45,2152.1,902.4
ANDAMAN & NICOBAR ISLANDS,2014,5.533070014,5.578927557,6.402500391,1.801836203,1.433036554,180.7481709,165.1105917,174.8177394,138.4955949,20.62814236,39.82017141,22.19287844,655.5,50.5,45,1618.7,704.2
ANDAMAN & NICOBAR ISLANDS,2015,5.862082048,6.997889843,6.782364747,1.948079365,1.650629952,174.4622204,193.1297698,176.1353473,166.7098096,30.25318762,24.17897605,32.21453763,692.6,134.4,45,1678.6,618.4
ARUNACHAL PRADESH,1916,6.360242341,5.711178809,5.833564481,1.223180144,1.534323745,218.0050536,119.5693109,100.5266728,101.6245705,25.74410166,31.75414178,17.33634888,402.9,117.9,45,,
ARUNACHAL PRADESH,1917,5.036393313,5.723157871,6.346698257,1.202010245,1.896758104,180.4136711,107.0725004,167.9157199,112.2999041,36.20395707,34.4996322,20.03113493,594.9,185.9,30,2772.8,262.8
ARUNACHAL PRADESH,1918,6.509557523,6.503458425,6.12080289,1.093187538,1.94133306,119.9614176,148.1269753,150.7876668,176.7888166,15.61545151,26.04735426,31.89426994,487.9,21.4,45,4121.3,146.7
ARUNACHAL PRADESH,1919,6.583759389,5.933605201,6.277544854,1.558169796,1.978643161,149.4209798,130.301706,140.7680669,115.6105261,25.96721596,28.4690661,17.771088,596.6,102.3,45,2888,997.6
ARUNACHAL PRADESH,1920,5.335261621,6.203138537,6.582410536,1.139331271,1.04825949,215.6728475,163.3459374,159.6585635,203.7663541,23.75673513,21.53675895,34.87131646,539,210.3,45,2649.2,103.3
ARUNACHAL PRADESH,1921,5.56603236,6.56678982,6.424704595,1.743455058,1.759061337,195.0864415,138.5106915,103.4404233,137.6357674,17.5533652,18.02459168,23.9042788,598.3,133.2,45,4155.5,266.4
ARUNACHAL PRADESH,1922,5.583151028,5.321165012,5.418203661,1.579280818,1.582781256,166.0647075,128.8034281,111.4796836,100.5727795,35.95506102,15.74208828,15.10798301,604.4,110.1,45,2723.9,532.8
ARUNACHAL PRADESH,1923,5.964122212,5.991864506,5.616255443,1.282090948,1.121290143,131.9748355,148.9378356,105.1865357,137.5272844,38.56668897,29.58265249,21.10558626,515.7,170.2,45,2555.7,61.3
ARUNACHAL PRADESH,1924,5.608213011,5.235090597,6.193665009,1.075748487,1.573999944,156.2323358,140.6178012,147.5927044,192.85807,21.24248167,20.43887522,33.26986794,602,130.8,45,3232.3,335.2
ARUNACHAL PRADESH,1925,5.445630468,5.453282683,5.530313966,1.085209198,1.63810117,134.2240364,171.2101303,118.26216,208.3759128,35.06834881,22.01180019,25.9994449,614.2,194.6,45,3129.3,162.4
ARUNACHAL PRADESH,1926,5.350316928,6.644801242,6.893958498,1.281604372,1.065439133,124.5474818,134.7747135,166.8349048,195.810804,38.36536327,36.6597683,27.49434713,591.8,78.9,45,2386.4,379.4
ARUNACHAL PRADESH,1927,5.931801023,6.67783395,6.773247991,1.50233477,1.819409978,198.7900688,141.9517306,210.798056,141.2263378,19.34927511,39.8631214,39.01526102,591.1,256.8,45,3805.3,555
