District,Month,Rainfall (mm),Temperature (°C),Humidity (%),Year
Kamareddy,January,9.26,24.1,20.0,2024
Nizamabad,October,94.23,30.7,94.0,2025
Vikarabad,June,120.19,34.3,93.0,2019
Khammam,September,135.77,15.9,93.0,2023
Karimnagar,May,32.54,19.1,75.0,2017
Hanamkonda,March,11.69,35.2,62.0,2025
Kumurambheem Asifabad,November,15.45,16.4,91.0,2022
Adilabad,July,192.2,22.6,69.0,2018
Kamareddy,August,190.43,15.1,87.0,2023
Yadadri Bhuvanagiri,December,3.58,30.5,52.0,2024
Mancherial,January,7.01,36.8,26.0,2020
Sangareddy,July,196.19,40.5,67.0,2020
Nagarkurnool,October,94.19,23.5,84.0,2024
Jogulamba Gadwal,April,17.28,40.7,52.0,2025
Jogulamba Gadwal,April,18.49,39.9,72.0,2024
Nalgonda,August,191.23,27.9,84.0,2021
Jagtial,November,15.41,32.8,63.0,2016
Jagtial,August,190.78,35.7,42.0,2025
Nirmal,June,117.39,16.0,91.0,2020
Suryapet,August,193.05,22.5,75.0,2020
Nizamabad,December,7.51,18.8,24.0,2016
Adilabad,January,10.91,23.7,85.0,2019
Wanaparthy,April,16.88,24.4,96.0,2023
Rajanna Sircilla,February,6.84,43.9,42.0,2018
Peddapalli,February,4.89,28.0,24.0,2024
Yadadri Bhuvanagiri,August,188.04,20.6,85.0,2020
Karimnagar,December,4.07,21.3,91.0,2022
Wanaparthy,June,121.18,40.4,28.0,2017
Nizamabad,January,10.34,25.1,92.0,2022
Hanamkonda,September,138.09,43.7,67.0,2016
Mahabubnagar,August,192.3,28.5,39.0,2022
Jogulamba Gadwal,March,11.82,29.7,77.0,2015
Rajanna Sircilla,March,13.34,39.7,56.0,2021
Hanamkonda,September,139.52,23.9,37.0,2017
Jagtial,February,6.93,40.9,76.0,2024
Siddipet,August,194.01,29.7,85.0,2019
Rangareddy,August,190.85,32.1,58.0,2021
Nizamabad,January,9.54,18.2,82.0,2023
Rajanna Sircilla,March,13.2,24.4,21.0,2025
Mancherial,August,189.12,28.2,95.0,2022
Jogulamba Gadwal,June,118.1,28.2,68.0,2024
Khammam,February,8.53,19.8,43.0,2016
Jogulamba Gadwal,January,9.78,31.4,70.0,2018
Adilabad,June,119.27,38.5,99.0,2023
Peddapalli,July,191.04,22.7,77.0,2021
Kumurambheem Asifabad,May,30.85,39.2,57.0,2022
Hyderabad,June,120.66,18.4,78.0,2024
Jogulamba Gadwal,January,8.61,23.2,67.0,2015
Mulugu,November,19.98,42.8,34.0,2020
Kumurambheem Asifabad,March,12.34,29.7,73.0,2018
Nagarkurnool,March,14.96,19.7,22.0,2024
Nalgonda,July,190.73,28.0,26.0,2020
Rangareddy,April,19.31,35.2,44.0,2019
Adilabad,January,7.56,33.7,100.0,2022
Mancherial,May,31.11,35.0,93.0,2020
Hanamkonda,November,19.21,24.7,92.0,2021
Vikarabad,October,90.46,43.4,52.0,2023
Jogulamba Gadwal,June,117.33,43.5,42.0,2025
Kumurambheem Asifabad,September,136.34,42.8,81.0,2020
Jogulamba Gadwal,June,120.14,40.6,52.0,2015
Jagtial,December,6.8,34.6,73.0,2023
Rajanna Sircilla,May,29.77,33.2,51.0,2015
Nirmal,June,122.12,36.4,58.0,2023
Kumurambheem Asifabad,January,10.74,43.0,35.0,2019
Adilabad,August,190.68,18.3,79.0,2024
Rangareddy,January,8.23,32.3,26.0,2019
Mancherial,February,8.82,35.0,79.0,2020
Nirmal,July,194.25,28.3,98.0,2024
Mahabubnagar,April,19.36,24.9,43.0,2021
Hyderabad,December,8.59,39.2,95.0,2024
Mulugu,July,195.82,19.2,67.0,2015
Jagtial,September,136.66,36.1,79.0,2023
Nagarkurnool,October,87.6,36.2,33.0,2021
Suryapet,February,5.96,32.4,39.0,2021
Mulugu,April,18.36,22.1,64.0,2018
Adilabad,April,20.49,15.9,78.0,2018
Medak,December,3.39,18.9,81.0,2020
Hyderabad,March,11.29,43.8,63.0,2017
Adilabad,December,5.74,38.1,32.0,2023
Peddapalli,September,138.07,17.3,39.0,2015
Mahabubabad,October,91.08,32.5,58.0,2022
Rajanna Sircilla,April,17.61,29.1,58.0,2025
Kamareddy,November,17.74,34.8,99.0,2018
Karimnagar,May,34.21,15.9,25.0,2022
Kamareddy,November,15.71,22.5,39.0,2024
Yadadri Bhuvanagiri,July,192.05,35.5,29.0,2021
Kamareddy,January,6.48,31.9,29.0,2017
Nalgonda,November,19.24,16.0,25.0,2020
Nagarkurnool,November,22.57,23.7,97.0,2020
Suryapet,December,3.91,42.8,50.0,2015
Vikarabad,September,137.5,33.2,47.0,2015
Medak,February,5.35,29.5,57.0,2019
Jagtial,May,31.76,42.0,95.0,2024
Vikarabad,May,32.28,22.7,96.0,2021
Karimnagar,June,117.72,19.9,22.0,2018
Nalgonda,October,90.04,37.8,99.0,2018
Hanamkonda,May,31.4,41.1,66.0,2018
Jogulamba Gadwal,May,31.11,15.8,53.0,2017
Medak,August,190.94,29.1,85.0,2018
Medak,December,7.39,36.7,61.0,2020
Wanaparthy,December,4.5,30.4,47.0,2021
Sangareddy,November,18.49,16.5,78.0,2022
Mahabubabad,June,120.83,33.6,96.0,2023
Wanaparthy,February,4.61,35.0,74.0,2020
Jogulamba Gadwal,December,7.64,28.9,80.0,2025
Hyderabad,August,191.53,19.2,54.0,2019
Rangareddy,December,6.41,17.2,39.0,2020
Mancherial,July,195.03,22.0,57.0,2021
Nalgonda,November,14.63,15.8,74.0,2015
Suryapet,April,17.17,24.6,38.0,2016
Suryapet,December,2.52,18.5,88.0,2024
Nirmal,October,93.79,15.3,91.0,2024
Mulugu,July,192.43,40.8,27.0,2019
Nirmal,February,3.99,30.6,100.0,2023
Hanamkonda,September,138.41,37.5,43.0,2017
Jagtial,May,29.93,44.7,97.0,2015
Jagtial,August,192.15,25.6,50.0,2024
Peddapalli,August,187.18,38.6,54.0,2022
Jagtial,October,89.29,41.1,21.0,2017
Mahabubnagar,February,3.04,20.2,36.0,2022
Adilabad,January,10.92,22.0,49.0,2018
Jagtial,June,118.78,43.7,24.0,2022
Wanaparthy,June,119.4,27.3,60.0,2016
Wanaparthy,April,16.81,18.4,73.0,2023
Nalgonda,October,93.06,33.2,52.0,2017
Nagarkurnool,June,121.85,35.0,27.0,2022
Nagarkurnool,July,194.68,19.8,50.0,2018
Jogulamba Gadwal,May,30.29,36.3,77.0,2017
Hanamkonda,April,18.38,30.9,26.0,2018
Mahabubnagar,February,4.1,35.6,67.0,2015
Hanamkonda,August,188.21,38.7,51.0,2017
Hanamkonda,September,137.11,16.6,26.0,2024
Hanamkonda,March,10.89,43.8,96.0,2025
Rangareddy,March,11.88,26.5,61.0,2017
Rangareddy,December,6.47,18.3,96.0,2024
Mulugu,December,3.64,33.3,60.0,2025
Nagarkurnool,November,12.53,24.6,66.0,2019
Jogulamba Gadwal,January,7.95,17.1,65.0,2017
Mahabubnagar,December,5.39,25.8,36.0,2015
Adilabad,November,19.87,40.0,55.0,2024
Peddapalli,November,22.96,41.7,99.0,2022
Rajanna Sircilla,August,189.55,36.9,42.0,2019
Karimnagar,January,7.15,22.6,56.0,2016
Nalgonda,August,192.03,38.6,30.0,2024
Nirmal,June,117.74,21.4,62.0,2019
Mulugu,August,192.84,32.0,82.0,2025
Kamareddy,May,30.34,20.9,29.0,2021
Peddapalli,May,30.71,35.8,63.0,2020
Rangareddy,June,115.62,42.6,47.0,2025
Nagarkurnool,September,139.53,38.3,50.0,2015
Suryapet,December,5.31,37.8,32.0,2024
Nizamabad,October,89.6,30.7,79.0,2019
Yadadri Bhuvanagiri,May,34.79,16.4,51.0,2018
Kumurambheem Asifabad,May,30.65,34.3,23.0,2016
Mahabubnagar,March,15.3,43.0,33.0,2025
Hyderabad,December,7.65,24.0,85.0,2024
Peddapalli,April,19.6,44.6,99.0,2018
Mancherial,August,193.56,17.5,34.0,2025
Medak,February,10.18,34.1,63.0,2019
Jogulamba Gadwal,May,34.26,23.2,43.0,2019
Nagarkurnool,April,19.87,25.6,46.0,2020
Vikarabad,November,16.78,19.0,57.0,2017
Khammam,January,10.16,22.7,35.0,2019
Yadadri Bhuvanagiri,October,90.04,31.7,37.0,2024
Peddapalli,July,194.03,27.9,72.0,2019
Nagarkurnool,August,185.8,28.2,46.0,2021
Hanamkonda,January,7.34,19.6,79.0,2024
Nalgonda,October,92.88,43.1,41.0,2025
Hyderabad,August,188.81,43.7,71.0,2024
Jogulamba Gadwal,July,195.95,26.5,26.0,2021
Jagtial,December,4.01,29.5,78.0,2020
Suryapet,January,7.88,40.9,75.0,2018
Mahabubnagar,August,188.8,16.4,69.0,2025
Adilabad,May,31.42,18.2,21.0,2019
Siddipet,June,117.88,28.5,29.0,2018
Rajanna Sircilla,March,14.72,30.5,81.0,2017
Jogulamba Gadwal,February,6.19,29.7,22.0,2023
Kamareddy,June,116.92,22.1,93.0,2023
Mancherial,November,17.73,15.7,86.0,2016
Suryapet,March,11.47,36.7,50.0,2022
Hanamkonda,June,121.38,19.2,76.0,2025
Mulugu,March,9.95,36.4,50.0,2016
Adilabad,May,30.96,24.8,56.0,2015
Nagarkurnool,March,15.1,42.7,40.0,2015
Vikarabad,June,117.68,20.7,46.0,2022
Medak,February,4.97,37.8,80.0,2019
Mahabubnagar,January,12.11,28.9,36.0,2023
Hanamkonda,November,22.31,23.7,63.0,2025
Nalgonda,October,89.07,40.1,62.0,2016
Suryapet,January,12.99,27.5,40.0,2021
Rangareddy,January,12.78,16.4,57.0,2022
Nalgonda,April,18.99,23.2,24.0,2024
Jogulamba Gadwal,April,19.46,41.4,68.0,2021
Nizamabad,May,31.24,18.9,54.0,2024
Peddapalli,March,17.13,19.8,65.0,2020
Yadadri Bhuvanagiri,October,89.3,31.7,24.0,2022
Mahabubabad,May,30.52,33.5,42.0,2024
Peddapalli,June,118.01,26.2,67.0,2025
Mahabubabad,December,6.52,25.9,21.0,2019
Rangareddy,August,191.71,25.9,95.0,2015
Nalgonda,February,8.87,43.3,82.0,2019
Mulugu,January,7.79,17.6,62.0,2019
Nirmal,November,19.92,38.4,40.0,2020
Adilabad,September,138.76,25.9,45.0,2024
Kamareddy,June,117.64,30.4,92.0,2022
Hanamkonda,October,92.14,16.2,43.0,2019
Vikarabad,July,192.15,35.2,59.0,2019
Medak,September,134.33,24.9,66.0,2018
Peddapalli,December,2.17,40.2,91.0,2025
Hanamkonda,April,21.19,33.5,91.0,2023
Nalgonda,May,33.5,44.7,65.0,2015
Nirmal,July,193.59,30.3,52.0,2020
Adilabad,August,189.94,37.4,36.0,2017
Mancherial,June,119.27,32.7,28.0,2020
Mancherial,May,27.66,18.7,61.0,2024
Medak,October,91.31,28.4,23.0,2023
Kumurambheem Asifabad,September,135.49,26.1,32.0,2019
Suryapet,November,17.49,29.9,78.0,2015
Yadadri Bhuvanagiri,December,5.6,25.0,88.0,2018
Mahabubnagar,October,93.6,43.9,37.0,2022
Mahabubnagar,September,137.88,16.4,56.0,2025
Peddapalli,March,13.42,16.2,98.0,2017
Kumurambheem Asifabad,March,15.24,30.2,37.0,2024
Mulugu,June,118.82,21.1,53.0,2018
Nirmal,September,135.83,40.7,98.0,2020
Rangareddy,August,192.69,19.4,45.0,2017
Adilabad,February,5.83,15.2,26.0,2024
Kamareddy,May,30.21,44.5,53.0,2016
Vikarabad,April,19.01,43.6,95.0,2020
Jogulamba Gadwal,January,9.23,24.0,55.0,2023
Hyderabad,March,14.17,18.3,84.0,2019
Vikarabad,October,93.62,41.4,86.0,2017
Nizamabad,March,16.95,26.1,23.0,2022
Peddapalli,December,4.1,27.7,56.0,2020
Rajanna Sircilla,February,5.77,28.7,94.0,2017
Adilabad,June,122.58,32.6,51.0,2018
Mulugu,March,13.05,40.3,78.0,2022
Nagarkurnool,April,15.8,33.8,97.0,2018
Peddapalli,July,190.0,32.0,57.0,2017
Hyderabad,October,89.54,32.7,90.0,2025
Khammam,December,6.97,21.3,76.0,2023
Siddipet,September,135.75,29.4,21.0,2023
Rangareddy,September,137.22,26.9,30.0,2017
Siddipet,May,30.15,15.8,90.0,2018
Adilabad,July,191.76,15.7,69.0,2022
Rangareddy,October,91.35,28.7,51.0,2018
Mancherial,August,192.15,32.0,86.0,2016
Sangareddy,January,12.24,33.2,82.0,2020
Hanamkonda,April,16.95,19.3,73.0,2020
Jagtial,December,5.65,26.2,63.0,2019
Karimnagar,March,15.93,19.2,34.0,2022
Nirmal,October,90.78,27.0,94.0,2016
Nirmal,September,137.42,24.3,29.0,2025
Karimnagar,June,122.15,26.4,38.0,2023
Mahabubnagar,January,13.29,37.9,26.0,2025
Mulugu,August,192.32,23.3,38.0,2024
Vikarabad,June,120.35,30.5,32.0,2015
Nagarkurnool,September,135.73,20.3,85.0,2017
Suryapet,August,189.65,27.7,96.0,2019
Nirmal,August,190.63,34.1,24.0,2018
Siddipet,October,91.76,26.4,58.0,2015
Rajanna Sircilla,August,190.46,21.5,95.0,2017
Jagtial,August,188.2,21.9,25.0,2015
Mulugu,February,7.2,18.6,99.0,2025
Hyderabad,July,190.95,37.1,99.0,2024
Medak,January,9.14,15.6,70.0,2015
Nirmal,July,193.57,22.1,45.0,2019
Jagtial,November,20.14,23.0,27.0,2019
Mahabubabad,July,191.04,23.0,76.0,2016
Vikarabad,May,31.53,36.2,52.0,2019
Medak,July,191.63,33.7,53.0,2016
Rajanna Sircilla,July,191.7,29.5,79.0,2025
Mahabubabad,July,192.28,36.3,36.0,2015
Nirmal,December,6.62,30.6,46.0,2024
Yadadri Bhuvanagiri,October,94.62,19.3,44.0,2020
Medak,February,5.93,43.4,91.0,2024
Khammam,April,17.43,34.5,31.0,2017
Nalgonda,April,20.13,27.6,85.0,2021
Nalgonda,June,119.69,41.3,46.0,2019
Sangareddy,July,193.67,32.5,44.0,2019
Adilabad,June,119.86,28.9,20.0,2023
Hanamkonda,March,14.4,42.9,78.0,2024
Adilabad,February,5.96,30.9,25.0,2019
Hyderabad,November,16.7,41.7,55.0,2021
Kumurambheem Asifabad,June,118.42,38.3,76.0,2015
Medak,July,194.68,16.0,30.0,2023
Mahabubnagar,October,93.53,19.9,65.0,2019
Nirmal,February,7.32,27.3,57.0,2018
Wanaparthy,January,13.37,17.9,85.0,2016
Nagarkurnool,June,118.39,22.4,68.0,2021
Nizamabad,July,192.64,25.9,49.0,2020
Jogulamba Gadwal,July,191.83,37.9,83.0,2022
Suryapet,September,137.18,41.8,95.0,2024
Jagtial,November,16.03,26.6,67.0,2025
Mahabubnagar,September,137.44,17.8,60.0,2017
Rajanna Sircilla,January,7.95,40.7,73.0,2018
Nizamabad,April,16.01,41.2,27.0,2016
Nirmal,July,190.36,18.6,21.0,2022
Medak,July,193.15,24.3,58.0,2020
Hyderabad,March,17.29,42.7,29.0,2015
Adilabad,July,192.81,20.7,95.0,2022
